0 0 -4,172325E-07 0

20 -5,476063E-11 -0,0002236962 4,456979E-09
9900 3,111069E-07 0,003224552 3,454561

9920 -3,56784E-05 0,003224611 3,532064

9940 -0,0001194462 0,00322479 3,610531

9960 -0,0002686474 0,003225029 3,689961

9980 -0,0004997454 0,003225237 3,770354

10000 -0,0008272165 0,003225446 3,85171

10020 -0,001267509 0,003225744 3,934027

10040 -0,001836019 0,003226101 4,017307

10060 -0,002545045 0,003226489 4,101547

10080 -0,003410383 0,003226846 4,186747

10100 -0,004447172 0,003227144 4,272905

10120 -0,00566963 0,003227651 4,360022

10140 -0,00709166 0,003228128 4,448095

10160 -0,008726957 0,003228635 4,537123

10180 -0,01058718 0,003229052 4,627106

10200 -0,01268627 0,003229409 4,718042

10220 -0,01503932 0,003229886 4,809929

10240 -0,01766315 0,003230244 4,902767

10260 -0,0205745 0,00323081 4,996553

10280 -0,02378766 0,003231376 5,091286

10300 -0,0273166 0,003231823 5,186964

10320 -0,03117421 0,0032323 5,283586

10340 -0,03537677 0,003232867 5,381148

10360 -0,03993886 0,003233433 5,479651

10380 -0,04487846 0,00323382 5,579091

10400 -0,05020895 0,003234506 5,679466

10420 -0,05608188 0,003704637 5,780908

10440 -0,06229569 0,004071623 5,883235

10460 -0,06890275 0,004347324 5,986468

10480 -0,07593058 0,004543871 6,090595

10500 -0,08339126 0,004673123 6,195638

10520 -0,09128592 0,004746705 6,301584

10540 -0,09961407 0,004775554 6,408455

10560 -0,1083732 0,004769146 6,516239

